x,y,pressure,x-velocity,y-velocity,label
0.17,0.67,-0.042725392,-0.039393298,0.22922711,1
0.15,0.73,-0.051514082,-0.036829609,0.23568815,1
0.31,0.63,-0.045178283,-0.081273273,0.2138477,1
0.25,0.67,-0.045632545,-0.056137033,0.23441082,1
0.69,0.13,0.0054278891,-0.050306719,-0.018181704,0
0.37,0.37,-0.010454426,-0.14708453,0.08300671,0
0.33,0.07,-0.00070899655,-0.033090726,0.004796423,0
0.19,0.51,-0.021058105,-0.060656682,0.17398825,1
0.27,0.59,-0.036359165,-0.082686961,0.21070287,1
0.31,0.69,-0.052039586,-0.054185107,0.22176686,1
0.13,0.47,-0.014474195,-0.034692682,0.13428861,-1
0.39,0.71,-0.062741354,-0.037425842,0.18640636,-1
0.27,0.35,-0.0070201084,-0.098294795,0.096429117,0
0.49,0.23,-6.8415568e-05,-0.12649965,0.003936307,0
