##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:10, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.01598726,0.46755084,8.0207217e-05
0.50999999,0.99000001,-0.016085086,0.46721932,0.00014371121
0.52999997,0.96999991,-0.016328454,0.40947852,0.00074708083
0.49000001,0.99000001,-0.01600221,0.46670893,0.00019670129
0.50999999,0.96999991,-0.016483655,0.40824816,0.0011670294
0.52999997,0.94999981,-0.016935606,0.35329866,0.0021267822
0.47,0.99000001,-0.015761886,0.46602264,0.00025536388
0.49000001,0.96999991,-0.016448524,0.40655303,0.0015901658
0.50999999,0.94999975,-0.017208984,0.3511773,0.0031030648
0.52999997,0.92999959,-0.01766278,0.30006585,0.0042367755
0.44999999,0.99000001,-0.015398064,0.46515673,0.00031510374
0.47,0.96999991,-0.016261287,0.40439445,0.0020124977
0.49000001,0.94999981,-0.017296301,0.34837857,0.0040721321
0.50999999,0.92999959,-0.018010916,0.29722527,0.0059802006
0.52999997,0.90999931,-0.018456399,0.25047567,0.006870023
0.43000001,0.99000001,-0.014943754,0.46410665,0.00037656748
0.44999999,0.96999985,-0.015953718,0.40176842,0.0024420996
0.47,0.94999975,-0.017232321,0.34490383,0.005045956
0.49000001,0.92999959,-0.018174946,0.29355806,0.0077074501
0.50999999,0.90999937,-0.018862652,0.24716401,0.0094907274
0.52999997,0.88999891,-0.019234091,0.20492938,0.0098093608
0.41,0.99000001,-0.014430995,0.46286514,0.00044073752
0.43000001,0.96999991,-0.01555822,0.39866275,0.0028855037
0.45000002,0.94999981,-0.017051453,0.34074828,0.0060359519
0.47000003,0.92999959,-0.018191909,0.28907192,0.009436626
0.49000001,0.90999925,-0.019089002,0.24293754,0.012076573
0.50999999,0.88999879,-0.019672975,0.20141941,0.013379603
0.52999997,0.86999798,-0.019934369,0.16354315,0.012805762
0.39000002,0.99000001,-0.013892332,0.46142143,0.00050870882
0.41000003,0.96999991,-0.015107402,0.39505911,0.0033496269
0.43000001,0.94999975,-0.016788235,0.33589917,0.0070550661
0.45000005,0.92999953,-0.018096613,0.28376868,0.011187769
0.47000003,0.90999919,-0.019172007,0.23781344,0.014655193
0.49000004,0.88999867,-0.019936942,0.19695674,0.016887458
0.50999999,0.86999792,-0.020391487,0.16009158,0.017344557
0.37,0.99000001,-0.013362279,0.45976168,0.00058189617
0.39000002,0.96999991,-0.014634814,0.39093089,0.0038423946
0.41000006,0.94999981,-0.016477443,0.33033511,0.008118012
0.43000007,0.92999953,-0.017924508,0.27764028,0.012982601
0.45000008,0.90999925,-0.019147277,0.23180269,0.0172543
0.47000009,0.88999861,-0.020062201,0.19157058,0.020368351
0.49000013,0.86999768,-0.020679098,0.1556907,0.021783732
0.35000002,0.99000001,-0.012875044,0.45786875,0.00066251459
0.37,0.96999991,-0.014175788,0.38624209,0.0043727891
0.39000005,0.94999975,-0.016154673,0.32402474,0.0092420829
0.41000009,0.92999953,-0.017711442,0.27067024,0.014845327
0.43000013,0.90999919,-0.019050887,0.2249075,0.019903824
0.45000017,0.88999856,-0.02008434,0.18528284,0.023857303
0.47000024,0.86999756,-0.020832349,0.15038018,0.026164826
0.49000019,0.84999603,-0.021260839,0.11897118,0.026484832
0.33000001,0.99000001,-0.012453975,0.45571896,0.0007609381
0.35000002,0.96999991,-0.01376952,0.38094479,0.0049494132
0.37000006,0.94999987,-0.015856765,0.31692556,0.010448098
0.3900001,0.92999953,-0.017494554,0.26283225,0.016803622
0.41000018,0.90999925,-0.018919351,0.21712288,0.022636479
0.43000028,0.8899985,-0.02003924,0.17810899,0.027390949
0.45000035,0.8699975,-0.02088617,0.14419377,0.030528609
0.47000042,0.84999579,-0.021430017,0.11401292,0.031734489
0.49000043,0.82999337,-0.021652853,0.086478025,0.030758863
0.31,0.99000001,-0.012108891,0.45324934,0.00091561885
0.33000001,0.96999991,-0.013462232,0.37497854,0.0055770227
0.35000005,0.94999987,-0.015622295,0.30898067,0.011762221
0.37000012,0.92999971,-0.017312909,0.25408921,0.018889833
0.39000022,0.90999931,-0.018790383,0.20843564,0.025489019
0.41000032,0.88999867,-0.019963246,0.17005926,0.031008642
0.43000048,0.86999744,-0.020876413,0.13716087,0.034917399
0.45000061,0.84999573,-0.021504067,0.10823299,0.036930345
0.47000074,0.82999313,-0.021828968,0.082081288,0.036818657
0.49000087,0.80998909,-0.021830522,0.057815209,0.034428153
0.28999999,0.99000001,-0.011944771,0.45045915,0.0010976869
0.31000003,0.96999997,-0.01329678,0.36826864,0.0062590516
0.33000004,0.94999987,-0.015494153,0.30011618,0.013218497
0.35000014,0.92999977,-0.017208654,0.24439141,0.021142771
0.37000024,0.90999943,-0.018703602,0.19882485,0.028503774
0.39000034,0.88999891,-0.019894004,0.16113758,0.034753595
0.41000056,0.86999786,-0.020838935,0.12930754,0.039375644
0.43000081,0.84999591,-0.021516433,0.10167297,0.042116046
